sigla_curso_ref,id_cadeira,nome_cadeira,ects,periodo,metodo_avaliacao,programa,num_alunos,docentes,url_curso
ERPQ,3097835356553298,Ciência e Tecnologia de Polímeros,6.0,2º Semestre,Os alunos podem optar por uma das seguintes 2 Vias de Avaliação: Via Testes (4 Testes parcelares; i.e.; um Teste no final de cada um dos 4 Blocos + 1 Exame de recurso) ou Via Exames (1 Exame final + 1 Exame final de recurso).,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/CTP/2025-2026/2-semestre
ERPQ,3097835356553261,Catálise Industrial e Reactores Químicos,6.0,2º Semestre,Projecto (50%); Exame (50%),,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/CIRQ/2025-2026/1-semestre
ERPQ,3097835356553300,Projecto de Tese,16.0,2º Semestre,Componentes de avaliação  Relatório de seminário ou visita de estudo  Trabalho laboratorial ou de campo  Resolução de problemas (A)  Trabalho de síntese  Projecto (B)  Trab. de investigação  Mini testes  Frequência  Exame  Outras (detalhar): contribuição da nota do exame integrador  (A) Um (ou vários) problema(s) que o estudante deve resolver por sua conta e apresentar o respectivo relatório de resolução.   (B) Incluem-se pequenos projectos no âmbito de qualquer disciplina.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/PTes/2025-2026/2-semestre
ERPQ,3097835356553296,Refinação de Petróleo e Combustíveis Renováveis,6.0,2º Semestre,Relatório de seminário ou visita de estudo (50%); Exame (50%),,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/RPCR/2025-2026/2-semestre
ERPQ,3097835356553297,Competências Industriais Complementares,6.0,2º Semestre,Trabalho de síntese,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/CIC/2025-2026/2-semestre
ERPQ,3097835356553264,Introdução à Investigação Científica,8.0,2º Semestre,Componentes de avaliação-Cotação indicativa [%]  Relatório de seminário ou visita de estudo-40  Trabalho laboratorial ou de campo	  Resolução de problemas A	  Trabalho de síntese-30  Projecto B-30  Trab. de investigação	  Mini testes	  Frequência	  Exame	  Outras: exame integrador de conhecimentos		  A-Um (ou vários) problema(s) que o estudante deve resolver por sua conta e apresentar o respectivo relatório de resolução. B-Incluem-se pequenos projectos no âmbito de qualquer disciplina.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/IIC/2025-2026/1-semestre
ERPQ,3097835356553262,Engenharia de Processos e Sistemas,6.0,2º Semestre,Projecto (70%); Exame (30%),,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/EPSis/2025-2026/1-semestre
ERPQ,3097835356553299,Controle e Supervisão de Processos,6.0,2º Semestre,Projecto (70%); Exame (30%,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/CSP/2025-2026/2-semestre
ERPQ,3097835356553265,Gestão de Energia e Ambiente,6.0,2º Semestre,Resolução de problemas (20%); Projecto (50%); Exame (30%),,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/GEA/2025-2026/1-semestre
ERPQ,3097835356553263,Sistemas Avançados de Separação,6.0,2º Semestre,Resolução de problemas (20%); Projecto (30%); Exame (50%),,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/SAS/2025-2026/1-semestre
PDMD,3097835356553289,Laboratório de Interação Pessoa-Máquina,7.5,2º Semestre,A avaliação da unidade curricular consiste no desenvolvimento de um projeto de interação em Media Digitais. O projeto inclui uma especificação inicial; sketches e um protótipo. Os métodos para o sketching e a prototipagem são discutidos em sala de aula. A avaliação também é recomendada. O trabalho é principalmente centrado na interface e na experiência do utilizador. O trabalho realizado é apresentado numa sessão com todos os estudantes,,1,Valentina Nisi,https://fenix.tecnico.ulisboa.pt/disciplinas/LIP-M/2025-2026/2-semestre
PDMD,3097835356553280,Tecnologia dos Media,7.5,2º Semestre,O trabalho realizado é apresentado numa sessão com todos os estudantes.  Para a classificação final o artigo de síntese tem o peso de 30% e o projeto de 70%,,2,,https://fenix.tecnico.ulisboa.pt/disciplinas/TMed/2025-2026/2-semestre
PDMD,3097835356553281,Laboratório de Gestão de Informação,7.5,2º Semestre,A avaliação é realizada com base em dois componentes individuais:  – O relatório sobre uma das áreas temáticas abordadas (50%)  – Um projeto prático sobre uma das áreas temáticas; que inclui relatório descritivo (50%)  O peso de cada componente é de 50%. O tema a desenvolver por cada estudante; em ambos os componentes de avaliação; é definido caso a caso e estabelecido durante o primeiro módulo.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/LGI/2025-2026/2-semestre
PDMD,3097835356553284,Seminário II (MD),7.5,2º Semestre,Sessões expositivas;orientação tutorial; dinâmicas de grupo.  Tipo de Avaliação: Avaliação distribuída sem exame final  Condições de Frequência:  Fórmula de avaliação: Participação em aulas 15% + Apresentação do trabalho final 15% + Trabalho final 70%,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/S-II-MD/2025-2026/2-semestre
PDMD,3097835356553288,Análise de Dados e Métodos Digitais,7.5,2º Semestre,O tipo de artigo a produzir pode assumir uma das seguintes formas:  - Draft de um manuscrito para submissão a uma conferência ou periódico.  - Uma proposta de financiamento (por exemplo; para candidatura à FCT para bolsa de pós-graduação).  - Draft do capítulo de métodos da sua Tese.,,3,Valentina Nisi,https://fenix.tecnico.ulisboa.pt/disciplinas/ADMD/2025-2026/2-semestre
PDMD,3097835356553286,Laboratório de Criação Audiovisual e Media Interativos,7.5,2º Semestre,Avaliação teórico-prática - inclui dois elementos de avaliação (individual - frequência (20% da classificação final); em subgrupos - exercícios de pesquisa e de análise (20% da classificação final); Avaliação laboratorial - inclui dois elementos de avaliação (individual e em subgrupos - exercícios de criação e de prototipagem (20% da classificação final); em subgrupos protótipo final (40% da classificação final).,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/LCAMI/2025-2026/2-semestre
PDMD,3097835356553282,Laboratório de Jornalismo,7.5,2º Semestre,A avaliação da unidade curricular é feita com base na qualidade da participação do aluno nas aulas; na média das várias componentes do trabalho de grupo e na classificação obtida no trabalho final individual:  - Participação nas aulas: 20%  - Projeto em grupo: 40%  - Relatório sobre estado da arte: 40%.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/LJ/2025-2026/2-semestre
PDMD,3097835356553253,Fundamentos dos Media Digitais,7.5,2º Semestre,A avaliação deste seminário é feita a partir da atividade “Adote um académico interdisciplinar”. A atividade “Adote um Académico interdisciplinar” inclui cinco tarefas: 1.Biografia intelectual; 2. Bibliografia comentada; 3. Resenha Científica; 4. Apresentação oral; 5. Artigo escrito.  Esta atividade contará para 70% da avaliação do aluno; e a participação 30%.,,6,,https://fenix.tecnico.ulisboa.pt/disciplinas/FMD/2025-2026/1-semestre
PDMD,3097835356553251,Tópicos Avançados em Media Digitais,7.5,2º Semestre,Avaliação distribuída sem exame final: relatório individual a apresentar no final.  Fórmula de avaliação: A nota final corresponde à avaliação do relatório.,,3,,https://fenix.tecnico.ulisboa.pt/disciplinas/TAMD/2025-2026/1-semestre
PDMD,3097835356553283,Tópicos Avançados em Media Digitais,7.5,2º Semestre,Avaliação distribuída sem exame final: relatório individual a apresentar no final.  Fórmula de avaliação: A nota final corresponde à avaliação do relatório.,,1,,https://fenix.tecnico.ulisboa.pt/disciplinas/TAMD/2025-2026/2-semestre
PDMD,3097835356553287,Laboratório de Tecnologias,7.5,2º Semestre,A avaliação da unidade curricular consiste na seleção; desenvolvimento e integração de uma tecnologia ou tecnologias avançadas num projeto de Media Digitais (os tópicos são discutidos na aula e normalmente relacionam-se com os trabalhos de investigação dos estudantes).,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/LTec/2025-2026/2-semestre
PDMD,3097835356553250,Seminário I (MD),7.5,2º Semestre,A avaliação incide sobre dois trabalhos individuais (com  componente oral e escrita) realizados pelos estudantes ao longo do semestre; tendo em vista aprimorar o seu projeto  de investigação; em resultado da aplicação das metodologias e técnicas leccionados nesta Unidade Curricular.  Condições de Frequência: 75% das aulas e entrega de dos dois trabalhos escritos com apresentação oral final.  Fórmula de avaliação: Trabalho final: 90% (Trabalho 1 (45%)+Trabalho 2 (45%)) + Participação em aula 10%,,3,,https://fenix.tecnico.ulisboa.pt/disciplinas/S-I-MD/2025-2026/1-semestre
PDMD,3097835356553252,Metodologias de Investigação,7.5,2º Semestre,O trabalho organiza-se em torno de aulas de carácter mais expositivo; onde são transmitidos conhecimentos teóricos e epistemológicos de todas as abordagens. Este suporte teórico permite ao estudante ir desenvolvendo o seu desenho de investigação.  A avaliação da UC é realizazda através da entrega de uma proposta de projeto de investigação.,,6,Duarte Nuno Jardim Nunes,https://fenix.tecnico.ulisboa.pt/disciplinas/MInve/2025-2026/1-semestre
PDMD,3097835356553285,Laboratório de Gestão; Mercados e Consumidores,7.5,2º Semestre,1- Definir o estado da arte sobre as várias áreas de investigação. Bibliometria e meta-análise;  2- Aplicar técnicas de criatividade para gerar ideias e enquadra-las quanto à sua pertinência na agenda científica;  3- Testar laboratóriamente as ideias; conceitos e modelos;  4- Interligar tecnologia digital e gestão num contexto organizacional concreto;  5- Aplicar métodos qualitativos e quantitativos.  A avaliação será realizada através da entrega de um projeto final.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/LGMC/2025-2026/2-semestre
DEAEPP,2253410426421763,Modelos e Aplicações em Análise de Decisão,6.0,Semestral,1 trabalho de grupo (30%); 1 projeto individual (20%); 1 exame (50%). O trabalho em grupo consiste em desenvolver um modelo multicritério para auxiliar um decisor real; e preparar um relatório e apresentação; o projeto individual consiste no desenho de um estudo de investigação inovador; o exame afere o conhecimento e maturidade sobre modelos; conceitos e ferramentas de análise de decisão.,,9,Mónica Duarte Correia de Oliveira,https://fenix.tecnico.ulisboa.pt/disciplinas/MAAD/2025-2026/2-semestre
DEAEPP,3097835356553278,Métodos Quantitativos de Investigação,6.0,Semestral,Trabalhos semanais. Projecto/exame final.,,4,Francisco Miguel Garcia Gonçalves de Lima,https://fenix.tecnico.ulisboa.pt/disciplinas/MQI-I/2025-2026/2-semestre
DEAEPP,3097835356553279,Teoria; Prática e Análise de Políticas Públicas,6.0,2º Semestre,Mid-term exam in class (1/3 of the grade) and a take-home final exam (2/3 of the grade).,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/TPAPP/2025-2026/2-semestre
DEAEPP,3097835356553249,Teoria; Prática e Análise de Políticas Públicas,6.0,P3,Mid-term exam in class (1/3 of the grade) and a take-home final exam (2/3 of the grade).,,4,Rui Miguel Loureiro Nobre Baptista,https://fenix.tecnico.ulisboa.pt/disciplinas/TPAPP/2025-2026/1-semestre
ST,3097835356553270,Modelação da Procura de Transportes,6.0,2º Semestre,A unidade curricular&nbsp;Modela&ccedil;&atilde;o da Procura de Transportes&nbsp;do Programa Doutoral em Sistemas de Transportes (PDST) utiliza um sistema de avalia&ccedil;&atilde;o composto por dois elementos. Avalia&ccedil;&atilde;o cont&iacute;nua AC - &nbsp;(60%)&Eacute; realizada atrav&eacute;s da resolu&ccedil;&atilde;o de&nbsp;tr&ecirc;s exerc&iacute;cios; desenvolvidos em grupos de dois estudantes; correspondentes aos principais t&oacute;picos da unidade curricular:   Exerc&iacute;cio 1 &#x2013; Regress&atilde;o Linear  Exerc&iacute;cio 2 &#x2013; Modelos Lineares Generalizados  Exerc&iacute;cio 3 &#x2013; Modelos com dados de painel e an&aacute;lise espacial   A nota da avalia&ccedil;&atilde;o cont&iacute;nua &eacute; calculada pela m&eacute;dia aritm&eacute;tica dos tr&ecirc;s exerc&iacute;cios.&nbsp; Exame final - EF (40%)O exame incide sobre&nbsp;todos os conte&uacute;dos&nbsp;da unidade curricular; com particular enfoque nos aspetos te&oacute;ricos; metodol&oacute;gicos e conceptuais; bem como na&nbsp;interpreta&ccedil;&atilde;o e comunica&ccedil;&atilde;o dos resultados&nbsp;obtidos ao longo do curso. Nota final - NFA nota final da UC &eacute; calculada com a seguinte f&oacute;rmula: NF = 60% x AC + 40% x EF.,,1,Gabriel Costa Valença | Filipe Manuel Mercier Vilaça e Moura,https://fenix.tecnico.ulisboa.pt/disciplinas/MPTra/2025-2026/1-semestre
ST,3097835356553306,Projecto e Conservação de Infra-Estrutura Ferroviária,6.0,2º Semestre,Os alunos devem superar 1 Exame final (EX) e a realização de um trabalho prático,,1,,https://fenix.tecnico.ulisboa.pt/disciplinas/PCIEF/2025-2026/2-semestre
ST,3097835356553304,Politícas de Transportes e Instituições,6.0,P3,a) Individual Written Exam,,0,Luís Guilherme De Picado Santos | Maria do Rosário Mauricio Ribeiro Macário,https://fenix.tecnico.ulisboa.pt/disciplinas/PTI/2025-2026/2-semestre
ST,3097835356553302,Modelos de Negócio e Contratos,6.0,2º Semestre,1. Avaliação contínua: Dois trabalhos (T) Participação nas aulas e discussão dos trabalhos (D)  2. Exame Final (EF): Exame individual que abrange todo o conteúdo do curso e tem a duração de 2 horas.  3. Nota final (FG): FG = 40% x T + 20% x D + 40% x EF   Na participação nas aulas: pontualidade; participação activa nas discussões com comentários críticos e sugestões  Nos Trabalhos: recolha e analise de informação relevante; correcta analise de situações complexas; argumentação estruturada e apresentação clara. Globalmente escrita correcta e clara apresentação oral,,0,Maria do Rosário Mauricio Ribeiro Macário,https://fenix.tecnico.ulisboa.pt/disciplinas/MNC/2025-2026/2-semestre
ST,3097835356553267,Risco e Decisão,6.0,2º Semestre,Exame escrito,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/RD/2025-2026/1-semestre
ST,3097835356553305,Engenharia de Infra-Estrutura Rodoviária e Aeroportuária,6.0,2º Semestre,Exame escrito.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/EIRA/2025-2026/2-semestre
ST,3097835356553269,Metodologias de Investigação nas Ciências Naturais e nas Ciências Sociais,6.0,2º Semestre,Os estudantes devem prestar os seguintes tipos de provas:  a) Exame escrito individual - 60% de peso na nota final  b) Projecto; realizado por pequenos grupos (2-3 alunos) - 40% peso na nota final     Em qualquer destas provas a nota mínima para evitar reprovação é 8.0 valores. Para assegurar aprovação na disciplina a nota ponderada das duas avaliações deve ser igual ou superior a 10 valores.,,1,Rosa Melo Félix | Gabriel Costa Valença | Filipe Manuel Mercier Vilaça e Moura | Luís Guilherme De Picado Santos,https://fenix.tecnico.ulisboa.pt/disciplinas/MICNCS/2025-2026/1-semestre
ST,3097835356553271,Optimização de Infra-Estrutura e Operações de Transporte,6.0,2º Semestre,Trabalhos práticos e prova final escrita.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/OI-OT/2025-2026/1-semestre
ST,3097835356553268,Gestão de Tráfego Rodoviário,6.0,2º Semestre,Trabalhos práticos e prova final escrita.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/GTR/2025-2026/1-semestre
ST,3097835356553301,Projecto de Tese em Sistemas de Transportes,30.0,2º Semestre,Apresentação e discussão do projecto de tese perante um júri.,,1,,https://fenix.tecnico.ulisboa.pt/disciplinas/PTST/2025-2026/2-semestre
ST,3097835356553303,Simulação de Sistemas Uso de Solos/Transportes,6.0,2º Semestre,Trabalhos práticos e prova final escrita.,,1,Rui Manuel Cordeiro Colaço | Filipe Manuel Mercier Vilaça e Moura,https://fenix.tecnico.ulisboa.pt/disciplinas/SSUST/2025-2026/2-semestre
ST,3097835356553266,Projecto de Tese em Sistemas de Transportes,30.0,2º Semestre,Apresentação e discussão do projecto de tese perante um júri.,,0,,https://fenix.tecnico.ulisboa.pt/disciplinas/PTST/2025-2026/1-semestre
CT3C,3097835356553238,Competências de Comunicação em Engenharia,3.0,P3,--- 50%: Elabora&ccedil;&atilde;o de um projeto em equipa (tema a ser escolhido pelos estudantes e com o acordo do respons&aacute;vel pela Unidade Curricular) com relat&oacute;rio e apresenta&ccedil;&atilde;o final.  --- 50%: Apresenta&ccedil;&atilde;o individual de trabalhos nas aulas; relacionados com os v&aacute;rios temas abordados; seguindo dois perfis diferentes.,,11,Luís Manuel De Jesus Sousa Correia,https://fenix.tecnico.ulisboa.pt/disciplinas/CCE/2025-2026/1-semestre
CT3C,3097835356553242,Metodologia de Investigação e Projeto de Tese,6.0,Semestral,A avaliação é feita com a avaliação da apresentação (50%) e com a discussão científica do projecto de tese (50%).,,29,Jorge Manuel Caliço Lopes de Brito,https://fenix.tecnico.ulisboa.pt/disciplinas/MIPTEC/2025-2026/2-semestre
CT3C,3097835356553247,Inteligência Artificial e Sociedade,3.0,Semestral,Um trabalho num tema à escolha de cada aluno; dentro do âmbito da UC.,,14,Mário Alexandre Teles de Figueiredo,https://fenix.tecnico.ulisboa.pt/disciplinas/IASoc/2025-2026/2-semestre
CT3C,3097835356553237,Metodologia de Investigação e Projeto de Tese,6.0,P3,A avaliação é feita com a avaliação da apresentação (50%) e com a discussão científica do projecto de tese (50%).,,23,Jorge Manuel Caliço Lopes de Brito | Eduardo Nuno Brito Santos Júlio | Luís Guilherme De Picado Santos | José Pedro Gamito de Saldanha Calado Matos | Ana Margarida Da Costa Ricardo | Maria Manuela Portela Correia dos Santos Ramos da Silva | João Pedro Ramôa Ribeiro Correia,https://fenix.tecnico.ulisboa.pt/disciplinas/MIPTEC/2025-2026/1-semestre
CT3C,3097835356553246,Seminários de Inovação e Empreendedorismo com a Indústria,3.0,P4,A avaliação dos alunos visa aprofundar um dos tópicos abordados no programa através de um caso estudo individual; apresentado; discutido e avaliado pelos pares.,,9,Joana Serra da Luz Mendonça | Rui Miguel Loureiro Nobre Baptista,https://fenix.tecnico.ulisboa.pt/disciplinas/SIEI/2025-2026/2-semestre
CT3C,3097835356553245,Design Thinking Aplicado à Investigação,3.0,Semestral,Avaliação por projecto individual (70%); 3 apresentações orais (30%),,13,Joana Serra da Luz Mendonça,https://fenix.tecnico.ulisboa.pt/disciplinas/DTAI/2025-2026/2-semestre
CT3C,3097835356553244,Conceção e Escrita de Projeto de Investigação,3.0,P3,A avaliação dos alunos consiste nas seguintes componentes: apresentação intermédia (20%); apresentação final da forma de pitch (30%); submissão de proposta de investigação com potencial de angariação de financiamento (50%).,,11,Rui Miguel Loureiro Nobre Baptista | Bruno Miguel Soares Gonçalves | Mónica Duarte Correia de Oliveira,https://fenix.tecnico.ulisboa.pt/disciplinas/CEPI/2025-2026/2-semestre
CT3C,3097835356553241,Introdução a Práticas de Investigação,6.0,P3,Realização de um projecto de investigação autónomo; incluindo:  - Escrita de um artigo científico sobre o tema; com respectiva carta de apresentação ("cover letter");  - Revisão de um artigo científico;  - Escrita de uma resposta a uma revisão;  - Apresentação oral do artigo escrito.,,31,Duarte Nuno Jardim Nunes,https://fenix.tecnico.ulisboa.pt/disciplinas/TInv/2025-2026/1-semestre
CT3C,2816360379855677,Transição Energética e os Recursos da Terra,3.0,P4,Os alunos ter&atilde;o de preparar uma apresenta&ccedil;&atilde;o oral (em Trabalho de Grupo - o n&uacute;mero de alunos por Grupo ser&aacute; definido no in&iacute;cio das aulas) sobre um tema por eles sugerido e validado pelo Docente Respons&aacute;vel pela UC. Os alunos ser&atilde;o avaliados i) pela qualidade cient&iacute;fica e t&eacute;cnica da apresenta&ccedil;&atilde;o oral; ii) pela sua capacidade de s&iacute;ntese; e iii) pela discuss&atilde;o oral.  &Eacute; obrigat&oacute;ria a presen&ccedil;a dos alunos em 80% dos Semin&aacute;rios.,,3,José Manuel Vaz Velho Barbosa Marques,https://fenix.tecnico.ulisboa.pt/disciplinas/TERT/2025-2026/2-semestre
